id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
3881,0,microsoft office small business 2007,microsoft software,735.33,windows vista business sp microsoft 66j-00063,,272.38
5292,0,apple final cut express hd 3.5 ( mac ),apple computer,299.0,apple logic express 7.2,,299.99
697,0,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,encore inc 3d home architect landscape design deluxe v 9.0,,25.49
5722,0,microsoft outlook 2007,microsoft,109.95,microsoft ( r ) powerpoint ( r ) 2002 upgrade,,108.87
6471,0,omnioutliner professional 3.0,csdc,69.95,resume maker professional 12,,17.95
5022,0,genuine fractals print pro 4.1 sharpener pro 2.0,onone software,,onone software inc. gpp-55212 upg genuine fractals print pro 5 1u,,66.97
2103,0,microsoft office small business 2007,microsoft software,735.33,t74-00004 microsoft windows small business server 2003 license 20 additional user cals,,1834.4
1873,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 master collection,,2499.99
564,0,cinescore professional soundtrack edition,sony-pictures-digital-entertainment,249.95,microsoft windows xp professional edition ( upgrade ),,199.99
6381,0,mavis beacon 17 standard,encore software,19.95,adobe cs3 web standard,,1035.99
5377,0,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,902453-006-g rumba unix-hp edition v. 7.3 upgrade license 1 user volume level g,,93.66
1464,0,microsoft word 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) office word 2004 for mac full version,,231.29
2700,0,total 3d home & landscape design suite version 9,individual software,39.99,punch software 85100 master landscape professional & home design v 10.0,,61.8
218,0,palo alto business plan pro premier 2007,palo-alto-software,199.0,quicken ( r ) premier 2007,,79.99
4097,0,microsoft windows vista business 32-bit for system builders,microsoft,179.99,microsoft windows vista home basic upgrade ( pc ),,99.99
643,0,symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,e17887d symantec backup exec for netware servers remote agent for windows or netware ser,,197.65
1396,0,the sims 2 : open for business expansion pack,aspyr media,34.99,destineer inc age of empires iii : the warchiefs expansion pack,,26.14
3173,0,internet security barrier x4 antispam edition,intego inc,,pc-cillin ( tm ) internet security 2007,,49.99
2404,0,mcafee internet security suite 2007 3 users,mcafee,89.99,intego inc internet security barrier x4 antispam edition,,71.75
1020,0,adobe creative suite cs3 web standard [ mac ],adobe,999.0,adobe cs3 web standard upgrade,,413.99
1276,0,microsoft office excel 2007,microsoft,229.95,microsoft ( r ) project standard 2007,,599.95
5226,0,adventure workshop preschool-1st grade 8th edition,encore,19.99,brain play preschool-1st grade,,17.9
2511,0,sony vegas 6 + dvd [ old version ],sony-pictures-digital-entertainment,899.95,sony vegas 6 video editing software professional editing software,sony-pictures-digital-entertainment,99.0
4444,0,brain food games : cranium collection 2006,encore,19.95,encore software 11250 brain food games : cranium collection 2006 win 98 me 2000 xp,,18.97
5057,0,black & white platinum pack ( mac ),feral interactive,29.99,intervideo windvd 8 platinum ( pc ),,59.99
974,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop lightroom,,264.99
822,0,calculation skills v1 add & sub basic core learning,sos-aggregation-company,,sos aggregation company brain builder core learning,,15.91
1264,0,instant immersion italian deluxe 2.0,topics entertainment,49.99,instant immersion italian platinum ( win 95 98 me nt 2000 xp ),,129.99
2815,0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,word mac 2004 microsoft d48-00487,,157.18
4507,0,jumpstart world 1st grade,knowledge adventure,19.99,jumpstart kindergarten ( jc ),,9.9
1820,0,spy sweeper with antivirus/child safe,webroot software,39.95,50411 spy sweeper with antivirus complete package 3 users win,,38.91
3591,0,omnioutliner professional 3.0,csdc,69.95,individual software prm-r12 resumemaker professional 12.0,individual software,29.99
4945,0,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft money 2007 home and business ( pc ),,89.99
784,0,family tree maker 11.2 collector 's edition,encore,109.95,encore inc family tree maker v 16 essentials,,25.75
3081,0,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,adobe cs3 design standard academic,,385.99
5257,0,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft ( r ) word 2007,,109.99
5387,0,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,instant landscape design 3.0,,17.9
5775,0,corel dvd moviefactory 6.0,corel,49.99,corel corporation dvd movie factory 6 plus retial ( english ),,74.08
1388,0,punch ! professional home design,punch ! software,89.99,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99
6430,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) access 2007,,109.99
6136,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft ( r ) works suite 2006,,99.99
3286,0,adobe creative suite cs3 production premium upgrade,adobe,799.0,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
3762,0,microsoft windows xp professional upgrade with sp2,microsoft software,199.99,nuance dragon naturallyspeaking v. 9.0 professional upgrade,,212.62
1203,0,quickbooks pro 2007 for mac ( mac ),intuit,199.95,quicken ( r ) for mac 2007,,69.99
2887,0,adobe after effects cs3,adobe,999.0,adobe cs3 after effects,,1025.99
4094,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,intuit quicken basic 2007 software for windows tax & finance software,,29.95
1934,0,datawatch monarch v7 ntwk-starter cd most 8u fpm32c070-a08n ),datawatch,,monarch std ( v9 .0 ) network starter 4-user rtl box datawatch fpm32c090-a04n,,1157.21
3391,0,project x project management software,marware,199.95,software,,621.99
1316,0,adobe flash pro cs3 [ mac ],adobe,699.0,adobe photoshop cs3 for mac upgrade,,189.99
31,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design premium academic,,575.99
886,0,corel dvd moviefactory 6.0 plus,corel,79.99,ulead ( r ) dvd moviefactory ( r ) 5,,49.99
5051,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,adobe cs3 design premium,,1865.99
4397,0,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe pagemaker 7.0 for mac version upgrade,,79.99
4092,0,adobe creative suite cs3 master collection upsell,adobe,1999.0,adobe cs3 web standard upsell,,819.99
3068,0,apple remote desktop 2.2 10 client ( old version ),apple,299.0,apple remote desktop 3 desktop management software 10-client edition apple & mac software,,279.95
3693,0,adobe creative suite cs3 design premium upsell,adobe,1599.0,adobe cs3 web standard upsell,,819.99
1812,0,web graphics creator,sos-aggregation-company,39.95,graphics software,,99.92
3413,0,adventure workshop preschool ( jewel case ),encore software,29.99,encore software 12411 encore adventure workshop preschool-1st grade 8th edition educational pc,,17.97
5007,0,webroot spy sweeper antispyware 5.x,webroot software,29.95,webroot software 54210 desktop firewall,webroot software,26.99
3735,0,microsoft mappoint 2006 standard edition,microsoft,299.0,microsoft ( r ) excel 2007,,109.99
3463,0,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop cs3 ( mac os x v. 10.4.8 ),,649.0
6655,0,instant immersion hawaiian audio,topics entertainment,,instant immersion 33 languages,topics entertainment,43.99
4962,0,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft academic microsoft office project 2003 professional,,176.99
5896,0,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe cs3 after effects academic,,329.99
447,0,print shop 22 deluxe,encore,49.99,the print shop ( r ) 22,,29.99
4947,0,microsoft outlook 2007,microsoft,109.95,microsoft academic microsoft office project 2003 standard,,69.95
150,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74
5670,0,microsoft onenote 2007 upgrade,microsoft,79.95,onone software qx-tools pro 7 upgrade,,69.17
5687,0,adobe creative suite cs3 production premium upsell,adobe,1199.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
736,0,systemsuite 8 professional,individual software,49.99,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),,157.36
3913,0,system care professional,avanquest,49.95,system mechanic ( r ) 5 professional,,69.95
6630,0,adobe acrobat 7.0 professional,adobe,449.99,adobe cs3 flash professional,,724.99
3259,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,adobe cs3 design standard academic,,385.99
1403,0,adobe after effects cs3,adobe,999.0,15510669dm adobe after effects cs3 professional v. 8 media tlp tlp nonprofit d,,18.88
3988,0,clickart fonts ( 2006 ) by encore,encore software,19.99,encore inc clickart 1.2 million 2006 dvd,,42.27
6866,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe cs3 web standard academic,,389.99
3655,0,microsoft onenote 2007,microsoft,99.95,microsoft office 2004 software suite oem mac apple & mac software,,239.95
1889,0,internet security barrier x4 antispam edition,intego inc,,intego contentbarrier x4 10.4,,54.99
6309,0,adobe after effects cs3,adobe,999.0,adobe after effects cs3 professional software for windows effects software,,998.95
5353,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 90500 home design studio mac,punch software,135.99
4108,0,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe illustrator cs3 ( mac ),,599.0
6651,0,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,adobe creative suite 3 ( cs3 ) design premium upgrade mac,,569.97
2698,0,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 master collection,,2499.99
8,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
4407,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,adobe dv rack 2.0 hd software for windows professional editing software,,499.0
4169,0,musicalis guitar workshop,global-software-publishing,9.99,music made easy guitar,,9.9
742,0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design standard upgrade,,413.99
6747,0,microsoft mappoint 2006 standard edition,microsoft,299.0,microsoft windows xp home edition sp2 oem,,95.99
4014,0,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48
2781,0,microsoft windows vista ultimate upgrade [ dvd ],microsoft,259.95,microsoft windows services for netware v. 5.0 complete package,,138.17
183,0,instant immersion japanese ( audio book ),topics entertainment,,instant immersion 33 languages,,47.36
3565,0,instant immersion german v2 .0 ( pc & mac ),topics entertainment,29.99,instant immers spanish dlux 2,,36.11
6745,0,adobe photoshop cs2 fundamental techniques by julieanne kost,software cinema,,adobe photoshop lightroom,,264.99
3276,0,microsoft office & windows training professional,topics entertainment,49.95,designing forms with microsoft office infopath 2007,,36.39
1454,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe premiere elements 3.0,,89.99
3446,0,backyard sports backyard basketball and backyard football,humongous entertainment,19.99,backyard sports : baseball 2007 for pc,,19.99
6117,0,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks ( r ) pro 2007,,179.99
4768,0,computrace lojack for laptops : 3 year subscription,absolute software,99.99,computrace lojack for laptops 3 yr subscription,,89.99
