id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
12920,0,optimizing the secure evaluation of twig queries,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,2002,optimizing the evaluation of complex similarity predicates,"a kirpal , s sarawagi",,
14442,0,"high-performance and scalability through application tier,in-memory data management",,vldb,2000,performance and scalability of ejb applications,"e cecchet , j marguerite , w zwaenepoel",,
1047,0,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994,a metadata approach to multimedia database federations,"d becarevic , m roantree","information and software technology ,",2004.0
6407,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,fast algorithems for association rules,"r agrawal , r srikant","proc . of 20th vldb conference ,",
9623,0,incremental clustering for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu",vldb,1998,andj . widom . view maintenance in a warehousing environment,"y zhuge , h garcia-molina , j hammer",proceedings of acm sigmod conference ( june,
7871,0,querying atsql databases with temporal logic,"j chomicki , d toman , m bіhlen",acm trans . database syst .,2001,querying a multilevel database : a logical analysis,f cuppens,"proceedings of the international conference on very large & hellip ; ,",1996.0
12100,0,the network is the database : data management for highly distributed systems,"j navas , m wynblatt",sigmod conference,2001,distributed database management,jb rothnie,"vldb ,",1978.0
4549,0,cure : an efficient clustering algorithm for large databases,"s guha , r rastogi , k shim",sigmod conference,1998,fast algorithms for mining association rules in large databases,"r argrawal , r srikant",,1994.0
5455,0,histogram-based approximation of set-valued query-answers,"y ioannidis , v poosala",vldb,1999,histogram-based techniques for approximating set-valued query-answers,"y ioannidis , v poosala","proc . 25th international conf . on very large databases ,",
13067,0,reminiscences on influential papers,,,2000,reminiscences on influential papers,ka ross,sigmod,2002.0
7071,0,a new join algorithm,"d shin , a meltzer",sigmod record,1994,a new max-flow rithm,av goldberg,"& hellip ; . mere . mit/lcs/tm-laboratory for computer science , mass . of & hellip ; ,",
5463,0,knowledge discovery in data warehouses,t palpanas,sigmod record,2000,knowledge discovery in scientific data,s rudolph,"data mining and knowledge discovery : theory , tools , and & hellip ; ,",2000.0
15715,0,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,"d kim , c chung",sigmod conference,2003,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
14525,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,queueing network models for concurrent transaction processing in a database system,"kb irani , hl lin",proceedings of the 1979 acm sigmod international conference,
9129,0,the aditi deductive database system,"j vaghani , k ramamohanarao , d kemp , z somogyi , p stuckey , t leask , j harland",vldb j.,1994,the o2 object-oriented database system,f bancilhon,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0
9510,0,multi-dimensional database allocation for parallel data warehouses,"t stіhr , h mфrtens , e rahm",vldb,2000,laks vs lakshmanan . a foundation for multi-dimensional database,m gyssens,"proceedings of the 23rd vldb conference , athens , greece ,",
10900,0,fast incremental maintenance of approximate histograms,"p gibbons , y matias , v poosala",vldb,1997,incremental maintenance of externally materialized views,"m staudt , m jarke","vldb ,",1996.0
11209,0,an authorization system for digital libraries,"e ferrari , n adam , v atluri , e bertino , u capuozzo",vldb j.,2002,an automated system for web portal personalization,"cc aggarwal , ps yu","vldb ,",2002.0
15082,0,similarity search for adaptive ellipsoid queries using spatial transformation,"y sakurai , m yoshikawa , r kataoka , s uemura",vldb,2001,adaptive similarity search using non-relevant information,"rg atv , s ghosal",,2002.0
5913,0,incremental clustering for mining in a data warehousing environment,"m ester , h kriegel , j sander , m wimmer , x xu",vldb,1998,view relevance driven materialized view selection in data warehousing environment,", s vadapalli , k karlapalem",,
15667,0,database management systems and the internet,s malaika,vldb,1996,design and implementation of the hb1 hyperbase management system,"jl schnase , jj leggett , dl hicks , pj nuernberg , ja",,
1133,0,"olap , relational , and multidimensional database systems",g colliat,sigmod record,1996,designing relational database systems,r riordan,,1999.0
11694,0,dynamic sample selection for approximate query processing,"b babcock , s chaudhuri , g das",sigmod conference,2003,icicles : selftuning samples for approximate query processing,"v ganti , ml lee , r ramakrishnan","proceedings of vldb ,",
5548,0,optimizing queries across diverse data sources,"l haas , d kossmann , e wimmers , j yang",vldb,1997,optimizing queries over multimedia repositories,"s chaudhuri , l gravano",,
7595,0,database research at columbia university,"s chang , l gravano , g kaiser , k ross , s stolfo",sigmod record,1998,selected database research at stanford,"a keller , p rathmann , j ullman , g wiederhold","acm sigmod record ,",1990.0
370,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,extracting typed values from semistructured databases,p manghi,,
2366,0,reminiscences on influential papers,,,2002,reminiscences on influential papers .,acms anthology,sigmod,1998.0
9927,0,a graphical query language for mobile information systems,y chang,sigmod record,2003,ontology-driven geographic information systems,"ft fonseca , mj egenhofer",,
346,0,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003,extracting schema from semistructured data,s nestorov,"sigmod conference ,",1998.0
10407,0,unisql 's next-generation object-relational database management system,"a d'andrea , p janus",sigmod record,1996,open object database management systems,ja blakeley,"proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
5174,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,online algorithms for finding profile association rules,"cc aggarwal , z sun , ps yu","proceedings of the seventh international conference on & hellip ; ,",1998.0
8098,0,on the discovery of interesting patterns in association rules,"s ramaswamy , s mahajan , a silberschatz",vldb,1998,discovery of multiple-level association rules from large databases,"h jiawei , f yong-jian","proc of ,",
1952,0,the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,implementation techniquesfor main memory database systems,"d dewitt , r katz , f olken , l shapiro , mr","proceedings of the acm sigmod international conference on & hellip ; ,",
11199,0,the evolution of the web and implications for an incremental crawler,"j cho , h garcia-molina",vldb,2000,the mental representation of stereotypes and its implications for stereotype development and,jw sherman,,1994.0
2161,0,a case-based approach to information integration,"m panti , l spalazzi , a giretti",vldb,2000,a statistical approach to incomplete information in database systems,e wong,"acm transactions on database systems ,",1982.0
1850,0,dynamic load balancing in hierarchical parallel database systems,"l bouganim , d florescu , p valduriez",vldb,1996,towards self-tuning data placement in parallel database systems,"ml lee , m kitsuregawa , bc ooi , kl tan , a mondal","sigmod conference ,",2000.0
8225,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,mining implication-based fuzzy association rules in databases,e hullermeier,"intelligent systems for information processing : from & hellip ; ,",
4942,0,an efficient algorithm for mining association rules in large databases,"a savasere , e omiecinski , s navathe",vldb,1995,an efficient domainindependent algorithm for detecting approximately duplicate database records,"am me971 , c elkan","proceedings of sigmod 1997 workshop on research issues on & hellip ; ,",
3787,0,information rules,d stirling,sigmod record,2003,introduction to information architects,rs wurman,,1996.0
12255,0,fast algorithms for projected clustering,"c aggarwal , c procopiuc , j wolf , p yu , j park",sigmod conference,1999,approximation algorithms for projective clustering,"pk agarwal , cm procopiuc",,
8051,0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,query processing in a distributed relational database system,"r epstein , m stonebraker , e wong","proceedings of the acm sigmod conference on management of & hellip ; ,",
2240,0,efficiently publishing relational data as xml documents,"j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald",vldb,2000,converting relational database into xml documents with dom,"j fong , hk wong , z cheng","information and software technology ,",2003.0
1834,0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,replicated data management in distributed database systems,sh son,"sigmod record ,",1988.0
5570,0,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994,algebraic query optimisation for database programming languages,"a poulovassilis , c small","the vldb journal the international journal on very large & hellip ; ,",1996.0
8895,0,temporal database system implementations,m bіhlen,sigmod record,1995,temporal data management,a shoshani,"vldb ,",1986.0
3183,0,comparative analysis of five xml query languages,"a bonifati , s ceri",sigmod record,2000,xquery : the xml query language,m brundage,,2004.0
970,0,guest editorial,,,2001,editorial,"pj sheppard , gr walker","bt technology journal ,",1997.0
13616,0,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom",sigmod record,1997,database management systems,"r ramakrishnan , j gehrke",,2002.0
6020,0,database design for incomplete relations,"m levene , g loizou",acm trans . database syst .,1999,incomplete information in relational temporal databases,k shashi,"proc . of the 18th vldb conference ,",
972,0,efficient similarity search for market basket data,"a nanopoulos , y manolopoulos",vldb j.,2002,efficient user-adaptable similarity search in large multimedia databases,"s thomas , h kriegel","proc . 23th int . conf . on vldb ,",
7436,0,the design and performance evaluation of alternative xml storage strategies,"f tian , d dewitt , j chen , c zhang",sigmod record,2002,the performance evaluation of hfc alternative refrigerant for hcfc22,"r yajima , s taira , n domyo , k masuda","proc . int . conf ,",
2704,0,describing and using query capabilities of heterogeneous sources,"v vassalos , y papakonstantinou",vldb,1997,querying heterogeneous information sources using source definitions,"ay levy , a rajaraman , jj ordille","proc . 22nd vldb conference , bombay , india ,",
5531,0,keynote address,,,1995,key note address,l zadeh,"proceedings of the 2 ndnew zealand international t wo-stream & hellip ; ,",
599,0,declustering databases on heterogeneous disk systems,"l chen , d rotem , s seshadri",vldb,1995,graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff","the vldb journal the international journal on very large & hellip ; ,",1997.0
1899,0,vist : a dynamic index method for querying xml data by tree structures,"h wang , s park , w fan , p yu",sigmod conference,2003,r-trees : a dynamic index structure for spatial searching,a guttrnan,"proceedings of the sigmod conference , boston , june ,",
15809,0,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb,2001,data warehouse design and maintenance through schema transformations,a marotta,,
4806,0,chair 's message,,,2001,head/director 's message,rdae status,,
6235,0,temporal aggregation in active database rules,"i motakis , c zaniolo",sigmod conference,1997,temporal database,emk bibliography,"acm sigmod record ,",
11422,0,the lyric language : querying constraint objects,"a brodsky , y kornatzky",sigmod conference,1995,on formalizing the uml object constraint language ocl,"m richters , m gogolla","lecture notes in computer science ,",1998.0
5775,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,a cost model for clustered object-oriented databases,"g gardarin , jr gruser , zh tang","proceedings of the 21th international conference on very & hellip ; ,",1995.0
3521,0,minimization of tree pattern queries,"s amer-yahia , s cho , l lakshmanan , d srivastava",sigmod conference,2001,probabilistic optimization of top n queries,"d donjerkovic , r ramakrishnan","vldb ,",1999.0
15047,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,fast algorithms for mining association rules,"d xin , j han , x li , b wah","proc . int . conf . on very large databases ( vldb ) ,",
5809,0,theory of answering queries using views,a halevy,sigmod record,2000,answering recursive queries using views,"om duschka , mr genesereth",,
2071,0,virtual database technology,"a gupta , v harinarayan , a rajaraman",sigmod record,1997,migrating relational databases to object technology,a behm,,
16860,0,querying xml views of relational data,"j shanmugasundaram , j kiernan , e shekita , c fan , j funderburk",vldb,2001,storing and querying xml data using denormalized relational databases,"a balmin , y papakonstantinou","the vldb journal the international journal on very large & hellip ; ,",2005.0
7462,0,query processing in tertiary memory databases,s sarawagi,vldb,1995,fast search in main memory databases,"aa ap , s pramanik",proceedings of the acm sigmod international conference on,
32,0,re-tree : an efficient index structure for regular expressions,"c chan , m garofalakis , r rastogi",vldb j.,2003,the tv-tree : an index structure forhigh-dimensional data,"ki lin , h jagadish , c faloutsos","the vldb journal ,",
9491,0,mining generalized association rules,"r srikant , r agrawal",vldb,1995,mining optimized association rules for numeric data,"t fukuda , y morimoto , s morishita , t tokuyama","proceedings of the acm sigmod international conference on & hellip ; ,",
9434,0,genesys : a system for efficient spatial query processing,"t brinkhoff , h kriegel , r schneider , b seeger",sigmod conference,1994,spatial query processing in an object-oriented system,j orenstein,"proc . acm sigmod/nt/conf . on the management of data , may ,",
13705,0,efficient view maintenance at data warehouses,"d agrawal , a abbadi , a singh , t yurek",sigmod conference,1997,on-line warehouse view maintenance,dqj widom,,
12715,0,database management systems and the internet,s malaika,vldb,1996,buffer management in relational database systems,"gm sacco , m schkolnick","acm transactions on database systems ,",1986.0
16521,0,guest editorial,,,2003,editorial,ca insko,"journal of personality and social psychology ,",
1448,0,databases for gis,"c medeiros , f pires",sigmod record,1994,database machines,"syw su , pb berra , p fisher , h chang , s schuster , g","proceedings of the 1978 acm sigmod international conference & hellip ; ,",1978.0
3256,0,guest editorial,,,2002,guest editor 's introduction,wc newstetter,journal of the learning,
16410,0,the mariposa distributed database management system,j sidell,sigmod record,1996,the legion resource management system,"sj chapin , d katramatos , j karpovich , as grimshaw","lecture notes in computer science ,",1999.0
12174,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,ownership types and safe lazy upgrades in object-oriented databases,"c boyapati , b liskov , l shrira",,
7831,0,online aggregation,"j hellerstein , p haas , h wang",sigmod conference,1997,ripple algorithms for online aggregation,"pj haas , jm hellerstein","proc . acm-sigmod international conference on management of & hellip ; ,",
2679,0,lineage tracing for general data warehouse transformations,"y cui , j widom",vldb,2001,a tool for supporting transformation and data & metadata lineage in a warehousing environment,"as de santana , amc moura",,
1767,0,strudel : a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1997,the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",
4497,0,the query by image content ( qbic ) system,"j ashley , m flickner , j hafner , d lee , w niblack , d petkovic",sigmod conference,1995,query by image and video content : the qbic { system . technical report rj 9949 ( 87908 ),"m flickner , h sawhney , w niblack , j ashley , q","ibm almaden research center , san jose ,",
4311,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,object and file management in the exodus extensible database system,"mj carey , dj dewitt , ej shekita","vldb ,",1986.0
15025,0,query processing in spatial network databases,"d papadias , j zhang , n mamoulis , y tao",vldb,2003,spatial query procesing in an object oriented database system,ao jack,acm proceedings,
3749,0,multi-dimensional selectivity estimation using compressed histogram information,"j lee , d kim , c chung",sigmod conference,1999,new histogram techniques for selectivity estimation,"x yu , awc fu , nt shatin , h kong",,
14929,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,spatial query processing in an object-oriented database system,ja orenstein,proceedings of the 1986 acm sigmod international conference,
16598,0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,distributed database systems -- four case studies,"j gray , m anderton","ieee tods , also tandem",
12986,0,the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,the implementation and performance of compressed databases . 1998,"t westmann , d kossmann , s helmer , g moerkotte",submitted for,
