id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
70,0,groupwise processing of relational queries,"d chatziantoniou , k ross",vldb,1997,on line processing of compacted relations,"f bancilhon , p richard , m scholl","vldb ,",1982.0
73,1,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0
76,0,databases and visualization,d keim,sigmod conference,1996,delaunay : a database visualization system,"wt lucas , if cruz , m radzyminski , m averbuch , k","sigmod rec ,",1997.0
78,0,secure transaction processing in firm real-time database systems,"b george , j haritsa",sigmod conference,1997,scheduling real-time transactions,"rk abbott , h garcia-molina","sigmod record ,",1988.0
80,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,translating update operations from relational to object-oriented databases,"pm reppert , fd morgan , mn toksoz , x zhang , j fong","information and software technology ,",2000.0
81,0,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003,access pathselectionina relationaldatabase management system,"p selinger , mm astrahan , dd chamberlin , ra lorie ,","proceedings of the acm-sigmod international conference on & hellip ; ,",
82,0,automated selection of materialized views and indexes in sql databases,"s agrawal , s chaudhuri , v narasayya",vldb,2000,materialized view selection for multidimensional database,"a shukla , p deshpande","proceedings of 24 international conference on very large & hellip ; ,",
83,1,bypassing joins in disjunctive queries,"m steinbrunn , k peithner , g moerkotte , a kemper",vldb,1995,bypassing joins in disjunctive queries,acm.org,"vldb ,",1995.0
84,0,optimizing the secure evaluation of twig queries,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,2002,on the minimization of xpath queries,s bottcher,,
85,0,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,dynamic multi-resource load balancing in parallel db systems,"e rahm , r marek","international conf . on very large data bases ( vldb ) ,",
86,0,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j chaudhary , g karvelis , s sou",sigmod conference,1994,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod record ,",1997.0
93,0,discover : keyword search in relational databases,"v hristidis , y papakonstantinou",vldb,2002,the theory of joins in relational databases,"av ario , c beer , jd ullman","acm trans . database syst ,",
94,0,some issues in design of distributed deductive databases,"m mohania , n sarda",vldb,1994,reactive consistency control in deductive databases,"g moerkotte , pc lockemann","acm transactions on database systems ,",1991.0
95,0,database management systems and the internet,s malaika,vldb,1996,relational data-base management systems,dd chamberlin,"acm computing surveys ( csur ) ,",1976.0
98,0,a scalable architecture for autonomous heterogeneous database interactions,"s milliner , a bouguettaya , m papazoglou",vldb,1995,graphical interaction with heterogeneous databases,"t catarci , g santucci , j cardiff","the vldb journal the international journal on very large & hellip ; ,",1997.0
101,0,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997,semanticmodelling of object-oriented databases,mbe m & de,"hoe . vldb ,",
103,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,sql-like operator for mining association rules,"r meo , g psaila , s ceri , a new","proceedings of international conference on very large & hellip ; ,",
104,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,decomposition and composition of a relational database,"y tanaka , t tsuda","vldb ,",1977.0
105,0,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,event specification in an object-oriented database system,"nh gehani , hv jagadish , o shmueli",proc . acm sigmod international conference on management of,
107,0,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,ditse : an experimental distributed database system,"n cheng-yao , y shyan-ming","information and software technology ,",1996.0
109,0,view management in multimedia databases,"k candan , e lemar , v subrahmanian",vldb j.,2000,management of multidimensional discrete data in database systems,pasb furtado,,
110,0,s3 : similarity search in cad database systems,"s berchtold , h kriegel",sigmod conference,1997,arun swami . efficient similarity search in sequence databases,cf rakeshagrawal,"procs . of the fourth international conference on foundations & hellip ; ,",
111,1,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi",vldb j.,2001,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi","the vldb journal the international journal on very large & hellip ; ,",2001.0
113,1,workflow management with service quality guarantees,"m gillmann , g weikum , w wonner",sigmod conference,2002,workflow management with service quality guarantees,m gillmann,,
114,0,on supporting containment queries in relational database management systems,"c zhang , j naughton , d dewitt , q luo , g lohman",sigmod conference,2001,xquery implementation in a relational database system,"s pal , i cseri , o seeliger , m rys , g schaller , w",submitted for,
116,0,an introduction to spatial database systems,r gќting,vldb j.,1994,logical introduction to databases,j grant,,1987.0
117,0,mining fuzzy association rules in databases,"c kuok , a fu , m wong",sigmod record,1998,efficient parallel data mining for association rules,"js park , ms chen , ps yuâ ? ¦",,
118,0,an introduction to spatial database systems,r gќting,vldb j.,1994,research issues in spatial database systems,"o guenther , a buchmann","sigmod-record , acm ,",
119,0,answering queries using views : a survey,a halevy,vldb j.,2001,an algorithm for answering queries efficiently using views,p mitra,,
120,1,computing iceberg queries efficiently,"m fang , n shivakumar , h garcia-molina , r motwani , j ullman",vldb,1998,computing iceberg queries ecientlyproc . 1996 int,"m fang , n shivakumar , hg molina , r motwani , jd","conf . very large data bases ,",
121,1,database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996,database research : achievements and opportunities into the 1st century,"a silberschatz , m stonebraker , j ullman","acm sigmod record ,",1996.0
123,0,business process cockpit,"m sayal , f casati , u dayal , m shan",vldb,2002,business process coordination : state of the art,"u dayal , m hsu , r ladin","trends and open issues . ( 2001 ) at proceedings of the 27th & hellip ; ,",
128,0,coloring away communication in parallel query optimization,"w hasan , r motwani",vldb,1995,parallel databases : structured query optimization,"n biscondi , a flory , l brunie",,
129,0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",
130,0,simultaneous optimization and evaluation of multiple dimensional queries,"y zhao , p deshpande , j naughton , a shukla",sigmod conference,1998,optimization of query evaluation algorithms,sb yao,"acm transactions on database systems ,",1979.0
131,1,an introduction to spatial database systems,r gќting,vldb j.,1994,an introduction to spatial database systems,portal.acm.org,,1994.0
133,0,theory of answering queries using views,a halevy,sigmod record,2000,a scalable algorithm for answering queries using views,ay levy,,
136,0,ordered shared locks for real-time databases,"d agrawal , a abbadi , r jeffers , l lin",vldb j.,1995,current research on real-time databases,o ulusoy,"sigmod record ,",1992.0
137,1,reminiscences on influential papers,,,2001,reminiscences on influential papers,ka ross,sigmod,2002.0
139,0,concurrent garbage collection in o2,"m skubiszewski , p valduriez",vldb,1997,opportunistic garbage collection,pr wilson,"acm sigplan notices ,",1988.0
140,0,data management for earth system science,"j frew , j dozier",sigmod record,1997,secure score management for p2p systems,"b yang , sd kamvar , h garcia-molina","technical report , stanford university ,",
142,0,a new join algorithm,"d shin , a meltzer",sigmod record,1994,a new algorithm for floorplan desip,"df wong , cl liu",proceedings of the 23rd acm/ieee design automation,
144,0,odefs : a file system interface to an object-oriented database,"n gehani , h jagadish , w roome",vldb,1994,tutorial on object-oriented databases,ms jackson,"information and software technology ,",1991.0
145,0,database technologies for electronic commerce,"r agrawal , r srikant , y xu",vldb,2002,frontiers of electronic commerce,"r kalakota , ab whinston",,1996.0
146,0,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999,the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",
149,0,the trigs active object-oriented database system - an overview,"g kappel , w retschitzegger",sigmod record,1998,mga : rule-based specification of active object-oriented database applications,"p sawyer , i sommerville","information and software technology ,",1995.0
150,0,model-based information integration in a neuroscience mediator system,"b ludфscher , a gupta , m martone",vldb,2000,infomaster : an information integration system,"mr genesereth , am keller , om duschka",,
152,0,index configuration in object-oriented databases,e bertino,vldb j.,1994,a cost model for clustered object-oriented databases,"zh tangot , stg france",,
153,0,an extended entity-relationship model for geographic applications,"t hadzilacos , n tryfona",sigmod record,1997,towards a semantic view of an extended entity-relationship model,"u hohenstein , m gogolla","acm transactions on database systems ,",
154,0,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,architectures for object data management,ja orenstein,,
155,0,qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",sigmod conference,2002,querying structured text in an xml database,"s al-khalifa , c yu , hv jagadish",,
156,0,association rules over interval data,"r miller , y yang",sigmod conference,1997,mining optimized association rules for numeric data,"t fukuda , y morimoto , s morishita , t tokuyama","proceedings of the acm sigmod international conference on & hellip ; ,",
157,0,a cost model for clustered object-oriented databases,"g gardarin , j gruser , z tang",vldb,1995,querying object-oriented datab = es,"m kifer , w kim , y sagiv","proceedings of the acm sigmod ,",
158,0,minicon : a scalable algorithm for answering queries using views,"r pottinger , a halevy",vldb j.,2001,answering queries with aggragates using views,"d srivastava , s dar , h jagadish , a levy","proceedings of the international conference on very large & hellip ; ,",
159,0,editor 's notes,m franklin,sigmod record,2000,editor 's notes,wmk trochim,"new directions for program evaluation ,",
160,1,querying and mining data streams : you only get one look a tutorial,,,2002,query and mining data streams : you only get one look,"m garofalakis , j gehrke , r rastogi",,
162,0,local dimensionality reduction : a new approach to indexing high dimensional spaces,"k chakrabarti , s mehrotra",vldb,2000,semantics-preserving dimensionality reduction : rough and fuzzy-rough-based approaches,"r jensen , q shen","ieee transactions on knowledge and data engineering ,",2004.0
163,0,secure bufering in firm real-time database systems,"b george , j haritsa",vldb j.,2000,special section on advances in realtime database systems,a bestavros,"sigmod record ,",
168,1,towards effective and efficient free space management,"m mcauliffe , m carey , m solomon",sigmod conference,1996,towards effective and efficient free space management,"ml mcaulie , mj carey , mh solomon",proceedings of the 1996 acm sigmod international conference,
170,0,a foundation for multi-dimensional databases,"m gyssens , l lakshmanan",vldb,1997,"olap , relational , and multidimensional database systems",g colliat,"sigmod record ,",1996.0
172,0,processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,continuously adaptive continuous queries over streams,"s madden , ma shah , jm hellerstein",,
173,0,lh * rs : a high-availability scalable distributed data structure using reed solomon codes,"w litwin , t schwarz",sigmod conference,2000,"lh * - a scalable , distributed data store","w litwin , ma neimat , da schneider","acm transactions on database systems ( tods ) ,",
174,0,using probabilistic information in data integration,"d florescu , d koller , a levy",vldb,1997,selectivity estimation using probabilistic models,"l getoor , b taskar , d koller",,
175,0,optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,"a hinneburg , d keim",vldb,1999,the pyramid-technique : towards indexing beyond the curse of dimensionality,"s berchtold , c bã ¶ hm , hp kriegel","proc . acm sigmod int . conf . on management of data , seattle ,",
176,0,an introduction to spatial database systems,r gќting,vldb j.,1994,an introduction to structured modeling,am geoffrion,"management science ,",1987.0
177,0,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003,a model ofauthorization fornext-generationdatabase systems,"f rabitti , e bertino , w kim , d woelk","acm transactions on database systems ,",
180,1,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima","vldb ,",2000.0
181,0,concurrency control in hierarchical multidatabase systems,"s mehrotra , h korth , a silberschatz",vldb j.,1997,concurrency control and recovery of multidatabase work flows in telecommunication applications,"ww jin , a sheth","sigmod record ,",1993.0
182,0,automatic discovery of language models for text databases,"j callan , m connell , a du",sigmod conference,1999,implementation of logic query languages for databases,j ullman,acm trans . on database systems,
183,0,semantics for update rule programs and implementations in a relational database management system,"l raschid , j lobo",acm trans . database syst .,1996,query processing in a relational database management system,"k youssefi , e wong","vldb ,",1979.0
184,1,"workflow automation : applications , technology , and research ( tutorial )",,,1995,"workflow automation : technology , applications , and research",a sheth,caise 95 tutorial,
185,0,the a-tree : an index structure for high-dimensional spaces using relative approximation,"y sakurai , m yoshikawa , s uemura , h kojima",vldb,2000,modeling high-dimensional index structures using sampling,"ak singh , ca lang","proc . acm sigmod intâ ?? l conf . on management of data , santa & hellip ; ,",
186,0,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003,middle-tier database caching for e-business,"q luo , s krishnamurthy , c mohan , h pirahesh , h woo",,
188,0,parallel mining algorithms for generalized association rules with classification hierarchy,"t shintani , m kitsuregawa",sigmod conference,1998,mining generalized association rules with fuzzy taxonomic structures,"q wei , g chen","fuzzy information processing society , 1999 . nafips . 18th & hellip ; ,",1999.0
190,0,reminiscences on influential papers,,,2000,reminiscences on influential papers .,acms anthology,sigmod,1998.0
191,0,implementation of magic-sets in a relational database system,"i mumick , h pirahesh",sigmod conference,1994,programming constructs for database system implementation in exodus,"je richardson , mj carey","proceedings of the 1987 acm sigmod international conference & hellip ; ,",1987.0
193,0,database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999,database research at nthu and itri .,alp chen,"sigmod record ,",1994.0
196,0,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002,multimedia databases coursenotes,a ghafoor,"proceedings of acm multimedia conference ,",
199,0,using semantic values to falilitate interoperability among heterogeneous information systems,"e sciore , m siegel , a rosenthal",acm trans . database syst .,1994,semantic integration and query of heterogeneous information sources,"s bergamaschi , s castano , m vincini , d beneventano",,
200,0,webdb ' 98 : international workshop on the web and databases,,,1998,report on l irst international workshop on real-time database systems,s son,"sigmod record ,",1996.0
202,1,gloss : text-source discovery over the internet,"l gravano , h garcia-molina , a tomasic",acm trans . database syst .,1999,gloss : text-source discovery over the internet,"l gravano , h garcia-molina , a tomasic","acm transactions on database systems ,",1999.0
203,0,the structured information manager : a database system for sgml documents,r sacks-davis,vldb,1996,lore : a database management systemfor semistruc-tured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmodrecord ,",
204,1,optimal clip ordering for multi-clip queries,"r ng , p shum",vldb j.,1998,optimal clip ordering for multi-clip queries,"rt ng , p shum","the vldb journal the international journal on very large & hellip ; ,",1998.0
205,0,the ecrc multi database system,"w jonker , h schќtz",sigmod conference,1995,the database language gem,c zmwolo,"acm sigmod ,",
206,0,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,fast online dynamic association rule mining,"yk woon , wk ng , a das",,
207,0,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"a gilbert , y kotidis , s muthukrishnan , m strauss",vldb,2001,congressional samples for approximate answering of aggregate queries,"s acharya , pb gibbons , v poosala","proceedings of acm sigmod ,",
209,0,quickstore : a high performance mapped object store,"s white , d dewitt",sigmod conference,1994,datablitz : a high performance main-memory storage manager,j baulier,,
210,0,"panel : future directions of database research - the vldb broadening strategy , part 1",h schek,vldb,2000,database research : some comments on future directions,"wt hardgrave , eh sibley",,
211,1,discovery of multiple-level association rules from large databases,"j han , y fu",vldb,1995,mining multiple-level association rules in large databases,"j han , y fu",,
213,0,efficient algorithms for minimizing tree pattern queries,p ramanan,sigmod conference,2002,fast algorithms for mining association rules and sequential patterns,r srikant,,1996.0
214,0,describing semistructured data,l cardelli,sigmod record,2001,inferring structure in semistructured data,"s nestorov , s abiteboul , r motwani","sigmod record ,",1997.0
215,0,scalable parallel data mining for association rules,"e han , g karypis , v kumar",sigmod conference,1997,association rule mining over interval data,"r miller , y yang",,
217,0,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003,on rules and integrity constraints in database systems,"tw ling , pk teo","information and software technology ,",1992.0
218,0,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003,monitoring and measuring distributed systems,"d wybranietz , d haban","acm press frontier series ,",1990.0
219,0,infering structure in semistructured data,"s nestorov , s abiteboul , r motwani",sigmod record,1997,"semistructured data , may 1997",p buneman,tutorial sigmod,
225,0,editor 's notes,m franklin,sigmod record,2000,editor 's notes,sb merriam,"new directions for adult and continuing education ,",
226,0,silkroute : a framework for publishing relational data in xml,"m fernandez , y kadiyska , d suciu , a morishima , w tan",acm trans . database syst .,2002,efficiently publishing relational data as xml documents,"j shanmungasundaram , e shekita , r barr , m carey , b","& hellip ; . of the int . conf . on very large data bases ( vldb ) , cairo , & hellip ; ,",
228,1,the bucky object-relational benchmark ( experience paper ),"m carey , d dewitt , j naughton , m asgarian , p brown , j gehrke , d shah",sigmod conference,1997,the bucky object-relational benchmark,mj carey,"sigmod rec ,",1997.0
230,0,query unnesting in object-oriented databases,l fegaras,sigmod conference,1998,querying object-oriented datab = es,"m kifer , w kim , y sagiv","proceedings of the acm sigmod ,",
231,0,database management systems and the internet,s malaika,vldb,1996,lore : a database management system for semistructued data,"j mchugh , s abiteboul , r goldmanâ ? ¦","acm sigmod ,",
238,0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0
240,0,the design and implementation of a sequence database system,"p seshadri , m livny , r ramakrishnan",vldb,1996,the design and implementation of the nctuns 1 . 0 network simulator,"sy wang , cl chou , ch huang , cc hwang , zm yang , cc","computer networks ,",2003.0
241,0,query optimization for xml,"j mchugh , j widom",vldb,1999,multiobjective query optimization,"ch papadimitriou , m yannakakis",,
242,0,the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms,"y shyy , j arroyo , s su , h lam",vldb j.,1996,"design and implementation of advanced knowledge processing in the kbms krisys , mj carey , da","j thomas , s deã?loch , nm mattos","proc . acm sigmod , exhibits program , san jose , ca , sigmod & hellip ; ,",
243,0,query rewriting for semistructured data,"y papakonstantinou , v vassalos",sigmod conference,1999,extracting schema from semistructured data,s nestorov,"sigmod conference ,",1998.0
244,0,chair 's message,,,1999,fact division chair 's message,"ak gupta , d mahr",,
245,1,query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal",sigmod conference,1998,query flocks : an extension to association-rule mining,"s tsur , jd ullman , s abiteboul , c clifton , r",,1998.0
246,0,research issues in active database systems : report from the closing panel at ride-ads '94,j widom,sigmod record,1994,research issues in federated database systems : report of efdbs '97 workshop,"s conrad , b eaglestone , w hasselbring , m roantree ,","acm sigmod record ,",1997.0
248,0,the tv-tree : an index structure for high-dimensional data,"k lin , h jagadish , c faloutsos",vldb j.,1994,an efficient index structure for high dimensional image data,"js yoo , mk shin , sh lee , ks choi , kh cho , dy hur",,
249,0,continuously adaptive continuous queries over streams,"s madden , m shah , j hellerstein , v raman",sigmod conference,2002,eddies : continuously adaptive query processing,f lã ¶ sch,,
250,0,the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000,hydice system : implementation and performance,"rw basedow , me anderson","proc . spie ,",1995.0
251,0,clustering categorical data : an approach based on dynamical systems,"d gibson , j kleinberg , p raghavan",vldb j.,2000,an information theory approach to categorical clustering,"d barbara , j couto , y li",submitted for,
253,1,v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994,v-trees-a storage method for long vector data,mr mediano,"proceedings of the international conference on very large & hellip ; ,",1994.0
255,0,an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994,the aditi deductive database system,"j vaghanl , k ramamohanarao , db kemp , z somogyi , pj","the vldb journal the international journal on very large & hellip ; ,",1994.0
256,0,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,performance enhancements to a relational database system,"m stonebraker , j woodfill , j ranstrom , m murphy , m","acm transactions on database systems ,",1983.0
257,0,dynamic load balancing in hierarchical parallel database systems,"l bouganim , d florescu , p valduriez",vldb,1996,shared-nothing paralel database systems,"m manish , d dewitt","vldb journal ,",
